date,cal_holiday,weather_temp,weather_rain_1h,weather_snow_1h,weather_clouds_all,weather_main,weather_description,traffic_volume
2017-01-05 20:00:00,None,253.46,0,0,75,Snow,light snow,2569
2017-01-05 21:00:00,None,252.91,0,0,1,Snow,light snow,2314
2017-01-05 22:00:00,None,251.96,0,0,75,Clouds,broken clouds,1699
2017-01-05 23:00:00,None,251.46,0,0,1,Clear,sky is clear,1106
2017-01-06 00:00:00,None,250.9,0,0,1,Clear,sky is clear,731
2017-01-06 01:00:00,None,250.4,0,0,1,Haze,haze,419
2017-01-06 02:00:00,None,250.03,0,0,1,Haze,haze,357
2017-01-06 03:00:00,None,249.95,0,0,1,Snow,light snow,389
2017-01-06 04:00:00,None,250.15,0,0,75,Snow,light snow,841
2017-01-06 05:00:00,None,249.46,0,0,75,Snow,light snow,2570
2017-01-06 06:00:00,None,249.35,0,0,1,Snow,light snow,5307
2017-01-06 07:00:00,None,248.84,0,0,20,Haze,haze,6058
2017-01-06 08:00:00,None,249.15,0,0,1,Clear,sky is clear,5416
2017-01-06 09:00:00,None,249.73,0,0,1,Clear,sky is clear,4842
2017-01-06 10:00:00,None,251.08,0,0,5,Clear,sky is clear,4484
2017-01-06 11:00:00,None,252.83,0,0,5,Clear,sky is clear,4583
2017-01-06 12:00:00,None,254.41,0,0,1,Clear,sky is clear,4988
2017-01-06 13:00:00,None,256.02,0,0,1,Clear,sky is clear,4980
2017-01-06 14:00:00,None,257.02,0,0,1,Clear,sky is clear,5174
2017-01-06 15:00:00,None,257.68,0,0,40,Clouds,scattered clouds,5553
2017-01-06 16:00:00,None,258.02,0,0,40,Clouds,scattered clouds,6350
2017-01-06 17:00:00,None,257.49,0,0,40,Clouds,scattered clouds,5790
2017-01-06 18:00:00,None,256.53,0,0,20,Clouds,few clouds,4616
2017-01-06 19:00:00,None,256.09,0,0,1,Clear,sky is clear,3368
2017-01-06 20:00:00,None,255.22,0,0,1,Clear,sky is clear,2720
2017-01-06 21:00:00,None,255.16,0,0,1,Clear,sky is clear,2542
2017-01-06 22:00:00,None,254.89,0,0,1,Clear,sky is clear,2255
2017-01-06 23:00:00,None,254.69,0,0,1,Clear,sky is clear,1488
2017-01-07 00:00:00,None,254.55,0,0,1,Clear,sky is clear,1089
2017-01-07 01:00:00,None,254.49,0,0,1,Clear,sky is clear,685
2017-01-07 02:00:00,None,254.35,0,0,1,Clear,sky is clear,663
2017-01-07 03:00:00,None,254.09,0,0,1,Clear,sky is clear,565
2017-01-07 04:00:00,None,254.22,0,0,1,Clear,sky is clear,664
2017-01-07 05:00:00,None,254.03,0,0,1,Clear,sky is clear,886
2017-01-07 06:00:00,None,254.34,0,0,1,Clear,sky is clear,1385
2017-01-07 07:00:00,None,254.47,0,0,1,Clear,sky is clear,1879
2017-01-07 08:00:00,None,254.53,0,0,40,Clouds,scattered clouds,2653
2017-01-07 09:00:00,None,254.95,0,0,5,Clear,sky is clear,3178
2017-01-07 10:00:00,None,255.84,0,0,5,Clear,sky is clear,3521
2017-01-07 11:00:00,None,257.02,0,0,1,Haze,haze,4085
2017-01-07 12:00:00,None,258.09,0,0,1,Clear,sky is clear,4444
2017-01-07 13:00:00,None,259.42,0,0,1,Clear,sky is clear,4548
2017-01-07 14:00:00,None,259.69,0,0,1,Clear,sky is clear,4800
2017-01-07 15:00:00,None,260.15,0,0,5,Clear,sky is clear,5092
2017-01-07 16:00:00,None,259.97,0,0,1,Clear,sky is clear,4885
2017-01-07 17:00:00,None,259.22,0,0,5,Clear,sky is clear,4572
2017-01-07 18:00:00,None,258.03,0,0,5,Clear,sky is clear,3780
2017-01-07 19:00:00,None,257.22,0,0,5,Clear,sky is clear,3025
2017-01-07 20:00:00,None,256.65,0,0,5,Clear,sky is clear,2751
2017-01-07 21:00:00,None,256.09,0,0,5,Clear,sky is clear,2683
2017-01-07 22:00:00,None,255.59,0,0,1,Clear,sky is clear,2404
2017-01-07 23:00:00,None,254.9,0,0,1,Clear,sky is clear,1757
2017-01-08 00:00:00,None,254.03,0,0,1,Clear,sky is clear,1089
2017-01-08 01:00:00,None,253.4,0,0,1,Clear,sky is clear,685
2017-01-08 02:00:00,None,253.49,0,0,1,Clear,sky is clear,663
2017-01-08 03:00:00,None,252.72,0,0,1,Clear,sky is clear,565
2017-01-08 04:00:00,None,252.29,0,0,1,Clear,sky is clear,664
2017-01-08 05:00:00,None,252.22,0,0,1,Clear,sky is clear,781
2017-01-08 06:00:00,None,251.95,0,0,1,Snow,light snow,1123
2017-01-08 07:00:00,None,252.02,0,0,1,Clear,sky is clear,1461
2017-01-08 08:00:00,None,252.22,0,0,1,Snow,light snow,1807
2017-01-08 09:00:00,None,253.22,0,0,1,Snow,light snow,2495
2017-01-08 10:00:00,None,255.22,0,0,1,Clear,sky is clear,3081
2017-01-08 11:00:00,None,257.08,0,0,1,Clear,sky is clear,3317
2017-01-08 12:00:00,None,259.57,0,0,40,Clouds,scattered clouds,3597
2017-01-08 13:00:00,None,260.88,0,0,1,Clear,sky is clear,3989
2017-01-08 14:00:00,None,262.01,0,0,75,Clouds,broken clouds,4316
2017-01-08 15:00:00,None,262.28,0,0,90,Snow,light snow,4281
2017-01-08 16:00:00,None,262.65,0,0,90,Snow,light snow,4103
2017-01-08 17:00:00,None,262.46,0,0,90,Snow,light snow,4198
2017-01-08 18:00:00,None,262.84,0,0,90,Snow,light snow,3331
2017-01-08 19:00:00,None,263.28,0,0,90,Snow,light snow,2893
2017-01-08 20:00:00,None,263.48,0,0,90,Snow,light snow,2388
2017-01-08 21:00:00,None,264.36,0,0,90,Snow,light snow,2026
2017-01-08 22:00:00,None,264.58,0,0,90,Snow,light snow,1527
2017-01-08 23:00:00,None,264.51,0,0,40,Snow,light snow,1223
2017-01-09 00:00:00,None,264.51,0,0,90,Snow,light snow,768
2017-01-09 01:00:00,None,264.65,0,0,90,Snow,light snow,562
2017-01-09 02:00:00,None,264.75,0,0,90,Snow,light snow,473
2017-01-09 03:00:00,None,265.02,0,0,90,Snow,light snow,602
2017-01-09 04:00:00,None,265.22,0,0,90,Snow,light snow,949
2017-01-09 05:00:00,None,265.42,0,0,90,Snow,light snow,2760
2017-01-09 06:00:00,None,265.29,0,0,90,Snow,light snow,5614
2017-01-09 07:00:00,None,265.02,0,0,90,Clouds,overcast clouds,6272
2017-01-09 08:00:00,None,264.53,0,0,90,Clouds,overcast clouds,5885
2017-01-09 09:00:00,None,264.82,0,0,90,Clouds,overcast clouds,4753
2017-01-09 10:00:00,None,265.35,0,0,90,Snow,light snow,4052
2017-01-09 11:00:00,None,265.95,0,0,40,Snow,light snow,4261
2017-01-09 12:00:00,None,266.55,0,0,90,Snow,light snow,4378
2017-01-09 13:00:00,None,267.08,0,0,90,Snow,light snow,4285
2017-01-09 14:00:00,None,267.22,0,0,90,Snow,snow,4068
2017-01-09 15:00:00,None,267.22,0,0,90,Snow,snow,4404
2017-01-09 16:00:00,None,267.55,0,0,90,Snow,light snow,4484
2017-01-09 17:00:00,None,267.58,0,0,90,Snow,light snow,4569
2017-01-09 18:00:00,None,267.72,0,0,90,Haze,haze,3512
2017-01-09 19:00:00,None,268.68,0,0,90,Clouds,overcast clouds,2508
2017-01-09 20:00:00,None,269.02,0,0,90,Clouds,overcast clouds,2022
2017-01-09 21:00:00,None,269.22,0,0,90,Clouds,overcast clouds,1884
2017-01-09 22:00:00,None,269.29,0,0,1,Clear,sky is clear,1357
2017-01-09 23:00:00,None,269.62,0,0,40,Clouds,scattered clouds,880
2017-01-10 00:00:00,None,269.68,0,0,40,Clouds,scattered clouds,519
2017-01-10 01:00:00,None,269.65,0,0,1,Clear,sky is clear,317
2017-01-10 02:00:00,None,269.62,0,0,1,Clear,sky is clear,255
2017-01-10 03:00:00,None,270.03,0,0,1,Clear,sky is clear,340
2017-01-10 04:00:00,None,269.68,0,0,1,Clear,sky is clear,817
2017-01-10 05:00:00,None,270.22,0,0,75,Clouds,broken clouds,2613
2017-01-10 06:00:00,None,270.59,0,0,90,Mist,mist,4339
2017-01-10 07:00:00,None,270.28,0,0,90,Mist,mist,3921
2017-01-10 08:00:00,None,270.22,0,0,90,Snow,heavy snow,3404
2017-01-10 09:00:00,None,270.34,0,0,90,Snow,heavy snow,4151
2017-01-10 10:00:00,None,270.21,0,0,90,Snow,snow,3237
2017-01-10 11:00:00,None,270.3,0,0,90,Snow,snow,3215
2017-01-10 12:00:00,None,269.69,0,0,90,Snow,snow,3312
2017-01-10 13:00:00,None,268.1,0,0,90,Snow,light snow,3595
2017-01-10 14:00:00,None,265.78,0,0,90,Snow,snow,3945
2017-01-10 15:00:00,None,264.03,0,0,75,Haze,haze,4454
2017-01-10 16:00:00,None,262.9,0,0,90,Haze,haze,5013
2017-01-10 17:00:00,None,261.84,0,0,5,Haze,haze,4734
2017-01-10 18:00:00,None,260.9,0,0,1,Clear,sky is clear,3675
2017-01-10 19:00:00,None,260.09,0,0,1,Clear,sky is clear,2597
2017-01-10 20:00:00,None,259.34,0,0,1,Clear,sky is clear,2219
2017-01-10 21:00:00,None,258.78,0,0,1,Clear,sky is clear,2003
2017-01-10 22:00:00,None,258.15,0,0,1,Clear,sky is clear,1347
2017-01-10 23:00:00,None,257.47,0,0,1,Clear,sky is clear,919
2017-01-11 00:00:00,None,256.95,0,0,75,Clouds,broken clouds,504
2017-01-11 01:00:00,None,257.42,0,0,90,Clouds,overcast clouds,292
2017-01-11 02:00:00,None,257.82,0,0,90,Snow,snow,264
2017-01-11 03:00:00,None,257.68,0,0,90,Snow,snow,331
2017-01-11 04:00:00,None,257.88,0,0,90,Snow,light snow,847
2017-01-11 05:00:00,None,258.09,0,0,90,Snow,light snow,2643
2017-01-11 06:00:00,None,258.15,0,0,90,Snow,light snow,4342
2017-01-11 07:00:00,None,258.01,0,0,90,Snow,snow,4101
2017-01-11 08:00:00,None,258.42,0,0,90,Snow,light snow,4082
2017-01-11 09:00:00,None,258.46,0,0,90,Snow,snow,3703
2017-01-11 10:00:00,None,258.59,0,0,90,Snow,light snow,3471
2017-01-11 11:00:00,None,258.68,0,0,90,Snow,light snow,3563
2017-01-11 12:00:00,None,259.28,0,0,90,Snow,light snow,3986
2017-01-11 13:00:00,None,259.62,0,0,40,Snow,light snow,3986
2017-01-11 14:00:00,None,260.48,0,0,75,Clouds,broken clouds,4565
2017-01-11 15:00:00,None,260.42,0,0,1,Clear,sky is clear,4452
2017-01-11 16:00:00,None,260.15,0,0,1,Clear,sky is clear,5725
2017-01-11 17:00:00,None,259.35,0,0,1,Clear,sky is clear,5563
2017-01-11 18:00:00,None,258.96,0,0,1,Clear,sky is clear,4154
2017-01-11 19:00:00,None,258.42,0,0,1,Clear,sky is clear,3011
2017-01-11 20:00:00,None,258.46,0,0,90,Clouds,overcast clouds,2569
2017-01-11 21:00:00,None,258.29,0,0,75,Clouds,broken clouds,2294
2017-01-11 22:00:00,None,258.47,0,0,90,Clouds,overcast clouds,1610
2017-01-11 23:00:00,None,258.59,0,0,90,Clouds,overcast clouds,1052
2017-01-12 00:00:00,None,258.59,0,0,90,Clouds,overcast clouds,613
2017-01-12 01:00:00,None,258.47,0,0,90,Clouds,overcast clouds,357
2017-01-12 02:00:00,None,258.09,0,0,90,Clouds,overcast clouds,279
2017-01-12 03:00:00,None,258.15,0,0,75,Clouds,broken clouds,339
2017-01-12 04:00:00,None,257.34,0,0,90,Clouds,overcast clouds,843
2017-01-12 05:00:00,None,257.02,0,0,90,Clouds,overcast clouds,2713
2017-01-12 06:00:00,None,257.15,0,0,90,Clouds,overcast clouds,5627
2017-01-12 07:00:00,None,257.95,0,0,90,Haze,haze,5839
2017-01-12 08:00:00,None,257.95,0,0,90,Clouds,overcast clouds,5541
2017-01-12 09:00:00,None,257.76,0,0,1,Haze,haze,4915
2017-01-12 10:00:00,None,258.33,0,0,5,Clear,sky is clear,4387
2017-01-12 11:00:00,None,259.96,0,0,5,Clear,sky is clear,4654
2017-01-12 12:00:00,None,261.52,0,0,5,Snow,light snow,4962
2017-01-12 13:00:00,None,262.36,0,0,1,Snow,heavy snow,4796
2017-01-12 14:00:00,None,262.96,0,0,5,Haze,haze,4938
2017-01-12 15:00:00,None,262.35,0,0,5,Snow,light snow,5287
2017-01-12 16:00:00,None,261.49,0,0,1,Haze,haze,6026
2017-01-12 17:00:00,None,259.72,0,0,1,Clear,sky is clear,5992
2017-01-12 18:00:00,None,257.6,0,0,20,Clouds,few clouds,4434
2017-01-12 19:00:00,None,256.59,0,0,5,Clear,sky is clear,3185
2017-01-12 20:00:00,None,255.84,0,0,1,Clear,sky is clear,2867
2017-01-12 21:00:00,None,254.34,0,0,5,Clear,sky is clear,3959
2017-01-12 22:00:00,None,253.4,0,0,90,Clouds,overcast clouds,2768
2017-01-12 23:00:00,None,252.66,0,0,1,Clear,sky is clear,1249
2017-01-13 00:00:00,None,251.73,0,0,1,Clear,sky is clear,635
2017-01-13 01:00:00,None,251.16,0,0,1,Clear,sky is clear,365
2017-01-13 02:00:00,None,250.42,0,0,1,Clear,sky is clear,280
2017-01-13 03:00:00,None,249.35,0,0,1,Clear,sky is clear,345
2017-01-13 04:00:00,None,248.66,0,0,1,Clear,sky is clear,758
2017-01-13 05:00:00,None,248.85,0,0,1,Clear,sky is clear,2525
2017-01-13 06:00:00,None,249.5,0,0,1,Clear,sky is clear,5554
2017-01-13 07:00:00,None,250.1,0,0,40,Clouds,scattered clouds,6414
2017-01-13 08:00:00,None,250.56,0,0,75,Clouds,broken clouds,5549
2017-01-13 09:00:00,None,250.54,0,0,1,Clear,sky is clear,4694
2017-01-13 10:00:00,None,252.23,0,0,75,Clouds,broken clouds,4272
2017-01-13 11:00:00,None,253.5,0,0,90,Clouds,overcast clouds,4909
2017-01-13 12:00:00,None,254.35,0,0,90,Clouds,overcast clouds,5215
2017-01-13 13:00:00,None,255.42,0,0,90,Clouds,overcast clouds,5135
2017-01-13 14:00:00,None,256.48,0,0,90,Clouds,overcast clouds,5270
2017-01-13 15:00:00,None,257.43,0,0,90,Snow,light snow,5762
2017-01-13 16:00:00,None,258.08,0,0,75,Snow,light snow,6272
2017-01-13 17:00:00,None,258.68,0,0,90,Clouds,overcast clouds,5686
2017-01-13 18:00:00,None,258.69,0,0,75,Clouds,broken clouds,4803
2017-01-13 19:00:00,None,259.08,0,0,75,Clouds,broken clouds,3496
2017-01-13 20:00:00,None,259.08,0,0,90,Clouds,overcast clouds,2807
2017-01-13 21:00:00,None,259.59,0,0,90,Clouds,overcast clouds,2874
2017-01-13 22:00:00,None,259.77,0,0,90,Clouds,overcast clouds,2167
2017-01-13 23:00:00,None,260.08,0,0,90,Clouds,overcast clouds,1568
2017-01-14 00:00:00,None,260.35,0,0,90,Clouds,overcast clouds,1341
2017-01-14 01:00:00,None,259.95,0,0,1,Clear,sky is clear,720
2017-01-14 02:00:00,None,259.22,0,0,1,Clear,sky is clear,770
2017-01-14 03:00:00,None,258.75,0,0,1,Clear,sky is clear,586
2017-01-14 04:00:00,None,258.08,0,0,1,Clear,sky is clear,561
2017-01-14 05:00:00,None,257.52,0,0,75,Clouds,broken clouds,728
2017-01-14 06:00:00,None,258.15,0,0,1,Clear,sky is clear,1166
2017-01-14 07:00:00,None,258.15,0,0,1,Clear,sky is clear,1540
2017-01-14 08:00:00,None,257.23,0,0,1,Clear,sky is clear,2162
2017-01-14 09:00:00,None,257.28,0,0,1,Snow,light snow,2867
2017-01-14 10:00:00,None,259.82,0,0,1,Clear,sky is clear,3530
2017-01-14 11:00:00,None,262.15,0,0,1,Clear,sky is clear,3996
2017-01-14 12:00:00,None,264.48,0,0,1,Clear,sky is clear,4467
2017-01-14 13:00:00,None,265.9,0,0,5,Clear,sky is clear,4808
2017-01-14 14:00:00,None,266.88,0,0,1,Clear,sky is clear,4772
2017-01-14 15:00:00,None,267.42,0,0,1,Clear,sky is clear,4708
2017-01-14 16:00:00,None,267.59,0,0,5,Clear,sky is clear,4727
2017-01-14 17:00:00,None,266.78,0,0,1,Clear,sky is clear,4503
2017-01-14 18:00:00,None,264.41,0,0,5,Clear,sky is clear,4327
2017-01-14 19:00:00,None,262.53,0,0,5,Clear,sky is clear,3294
2017-01-14 20:00:00,None,260.85,0,0,5,Clear,sky is clear,2945
2017-01-14 21:00:00,None,259.76,0,0,5,Clear,sky is clear,2953
2017-01-14 22:00:00,None,259.34,0,0,1,Clear,sky is clear,2651
2017-01-14 23:00:00,None,258.22,0,0,1,Clear,sky is clear,1928
2017-01-15 00:00:00,None,257.22,0,0,1,Clear,sky is clear,1341
2017-01-15 01:00:00,None,256.16,0,0,1,Mist,mist,962
2017-01-15 02:00:00,None,255.53,0,0,1,Haze,haze,740
2017-01-15 03:00:00,None,254.96,0,0,1,Haze,haze,545
2017-01-15 04:00:00,None,254.59,0,0,1,Mist,mist,510
2017-01-15 05:00:00,None,254.4,0,0,20,Mist,mist,604
2017-01-15 06:00:00,None,254.59,0,0,1,Mist,mist,922
2017-01-15 07:00:00,None,254.91,0,0,1,Mist,mist,1158
2017-01-15 08:00:00,None,254.89,0,0,1,Mist,mist,1502
2017-01-15 09:00:00,None,255.72,0,0,1,Clear,sky is clear,2258
2017-01-15 10:00:00,None,258.22,0,0,1,Clear,sky is clear,3027
2017-01-15 11:00:00,None,262.34,0,0,1,Clear,sky is clear,3617
2017-01-15 12:00:00,None,266.2,0,0,5,Clear,sky is clear,4093
2017-01-15 13:00:00,None,269.08,0,0,40,Clouds,scattered clouds,4276
2017-01-15 14:00:00,None,271.14,0,0,5,Clear,sky is clear,4529
2017-01-15 15:00:00,None,272.21,0,0,5,Clear,sky is clear,4490
2017-01-15 16:00:00,None,272.08,0,0,40,Clouds,scattered clouds,3746
2017-01-15 17:00:00,None,271.56,0,0,1,Clear,sky is clear,4025
2017-01-15 18:00:00,None,269.89,0,0,40,Clouds,scattered clouds,3187
2017-01-15 19:00:00,None,268.16,0,0,5,Clear,sky is clear,2919
2017-01-15 20:00:00,None,267.53,0,0,1,Clear,sky is clear,2523
2017-01-15 21:00:00,None,267.15,0,0,1,Clear,sky is clear,2032
2017-01-15 22:00:00,None,266.82,0,0,1,Clear,sky is clear,1638
2017-01-15 23:00:00,None,266.48,0,0,1,Mist,mist,1149
2017-01-16 00:00:00,Martin Luther King Jr Day,266.08,0,0,1,Mist,mist,698
2017-01-16 01:00:00,None,265.68,0,0,1,Mist,mist,415
2017-01-16 02:00:00,None,265.62,0,0,1,Mist,mist,369
2017-01-16 03:00:00,None,264.95,0,0,1,Mist,mist,601
2017-01-16 04:00:00,None,263.95,0,0,1,Mist,mist,860
2017-01-16 05:00:00,None,263.88,0,0,1,Mist,mist,2465
2017-01-16 06:00:00,None,262.88,0,0,1,Mist,mist,4524
2017-01-16 07:00:00,None,261.82,0,0,1,Mist,mist,4284
2017-01-16 08:00:00,None,261.23,0,0,1,Mist,mist,3716
2017-01-16 09:00:00,None,261.36,0,0,1,Mist,mist,3760
2017-01-16 10:00:00,None,263.68,0,0,75,Mist,mist,3914
2017-01-16 11:00:00,None,266.48,0,0,75,Haze,haze,4145
